Time,id,iq,Te,omega_m
0.039,1.248,7.332,4.347,15.799
0.039,1.247,7.326,4.344,15.837
0.039,1.246,7.321,4.341,15.875
0.039,1.245,7.316,4.338,15.914
0.039,1.244,7.311,4.335,15.952
0.039,1.242,7.306,4.332,15.990
0.039,1.241,7.301,4.329,16.029
0.039,1.240,7.296,4.326,16.067
0.039,1.239,7.291,4.323,16.105
0.040,1.238,7.286,4.321,16.143
0.040,1.236,7.282,4.318,16.182
0.040,1.235,7.277,4.315,16.220
0.040,1.234,7.272,4.312,16.258
0.040,1.233,7.268,4.309,16.296
0.040,1.232,7.263,4.307,16.334
0.040,1.230,7.258,4.304,16.372
0.040,1.229,7.254,4.301,16.410
0.040,1.228,7.250,4.299,16.448
0.040,1.227,7.245,4.296,16.486
0.041,1.226,7.241,4.294,16.524
0.041,1.224,7.237,4.291,16.562
0.041,1.223,7.232,4.289,16.600
0.041,1.222,7.228,4.286,16.638
0.041,1.221,7.224,4.284,16.675
0.041,1.220,7.220,4.281,16.713
0.041,1.219,7.216,4.279,16.751
0.041,1.217,7.212,4.277,16.789
0.041,1.216,7.208,4.274,16.827
0.041,1.215,7.204,4.272,16.864
0.042,1.214,7.200,4.270,16.902
0.042,1.213,7.196,4.268,16.940
0.042,1.211,7.192,4.265,16.977
0.042,1.210,7.189,4.263,17.015
0.042,1.209,7.185,4.261,17.053
0.042,1.208,7.181,4.259,17.090
0.042,1.207,7.178,4.257,17.128
0.042,1.206,7.174,4.255,17.165
0.042,1.205,7.171,4.253,17.203
0.042,1.203,7.167,4.251,17.240
0.043,1.202,7.164,4.249,17.278
0.043,1.201,7.160,4.247,17.315
0.043,1.200,7.157,4.245,17.353
0.043,1.199,7.154,4.243,17.390
0.043,1.198,7.150,4.241,17.428
0.043,1.197,7.147,4.239,17.465
0.043,1.196,7.144,4.237,17.502
0.043,1.195,7.141,4.235,17.540
0.043,1.193,7.138,4.233,17.577
0.043,1.192,7.134,4.231,17.614
0.044,1.191,7.131,4.230,17.652
0.044,1.190,7.128,4.228,17.689
0.044,1.189,7.125,4.226,17.726
0.044,1.188,7.123,4.224,17.763
0.044,1.187,7.120,4.223,17.801
0.044,1.186,7.117,4.221,17.838
